公司名称,公司链接,上班地址,行政区,发布时间,学历,月薪,经验,招聘人数,城市,职业名,公司类型,公司总人数
石家庄达内童程科技有限公司,http://company.zhaopin.com/CZ603360530.htm,河北省石家庄市新华区中山西路83号东方大厦写字楼11层,,2019-04-29 09:38:40,本科,6千-8千,1-3年,1,石家庄,班主任 教务 半销售 薪资6+,教育/培训/院校,10000人以上
河北常山生化药业股份有限公司,http://special.zhaopin.com/hb/2012/hbsh051893/index.html,石家庄,,2019-04-26 09:02:36,本科,1万-2万,5-10年,1,石家庄,医药行业市场总监,"医药/生物工程,医疗/护理/美容/保健/卫生服务,医疗设备/器械,贸易/进出口",1000-9999人
卡盟联众信息技术(北京)有限公司,http://company.zhaopin.com/CC604422420.htm,石家庄市裕华区槐安路与翟营大街交口东北角财库国际2705,,2019-04-28 15:32:48,不限,5千-8千,不限,2,石家庄,网络推广,"互联网/电子商务,汽车/摩托车,计算机软件,IT服务(系统/数据/维护)",100-499人
深圳万乘联合投资有限公司石家庄分公司,http://special.zhaopin.com/pagepublish/53733412/index.html,石家庄裕华区裕华路裕华区方北大厦,,2019-04-28 10:01:49,不限,6千-8千,不限,10,石家庄,电话催收话务员,基金/证券/期货/投资,500-999人
石家庄瑞诺网络科技有限公司,http://company.zhaopin.com/CZ226581410.htm,石家庄市新华区北二环与西三庄大街交口格澜商务大厦20层2006-2012室,,2019-04-24 10:30:45,不限,4千-6千,不限,1,石家庄,竞价推广专员/SEM,"互联网/电子商务,IT服务(系统/数据/维护)",100-499人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,中山华府,,2019-04-28 09:13:30,本科,6千-8千,1-3年,2,石家庄,大学辅导员 双休五险一金,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
石家庄君乐宝乳业有限公司,http://special.zhaopin.com/2016/sjz/sjzj030139,石家庄市石铜路36号,,2019-04-22 14:52:38,大专,3千-5千,1-3年,1,石家庄,供应员,"快速消费品（食品/饮料/烟酒/日化）,快速消费品（食品/饮料/烟酒/日化）",1000-9999人
石家庄艾猫科技有限公司,http://company.zhaopin.com/CZ845122480.htm,长安区广安大街36号银泰国际A座1804,,2019-04-26 14:20:03,大专,4千-8千,1-3年,1,石家庄,用户运营,"互联网/电子商务,专业服务/咨询(财会/法律/人力资源等)",20-99人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,一环就近分配,,2019-04-28 09:13:27,大专,2千-4千,1年以下,1,石家庄,行政助理月薪3500五险一金,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
保利爱家房地产经纪有限公司,http://special.zhaopin.com/2018/bh/11012/xcbl052931,裕华区保利拉菲公馆,,2019-04-29 09:23:45,大专,3千-4千,1-3年,2,石家庄,销售内勤（门店秘书）,"房地产/建筑/建材/工程,中介服务,租赁服务,互联网/电子商务",500-999人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,河北省石家庄市乐汇城附近,,2019-04-28 10:17:51,本科,6千-8千,1-3年,5,石家庄,教育-大学辅导员-底薪4k+五险一金+双休,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
汇生卓远管理咨询(北京)有限公司河北分公司,http://company.zhaopin.com/CZ846525090.htm,裕华区金源商务广场B座601,,2019-04-28 08:58:46,本科,8千-1万,1-3年,3,石家庄,Junior Consultant（初级投资咨询顾问）,专业服务/咨询(财会/法律/人力资源等),100-499人
河北至诚速捷商贸有限公司,http://special.zhaopin.com/pagepublish/27898488/index.html,河北省石家庄市长安区体育大街与谈南路交叉口睿和中心,长安区,2019-04-29 09:17:19,大专,2千-4千,1-3年,1,石家庄,质检监听员（五险一金+双休3500）,贸易/进出口,100-499人
卡盟联众信息技术(北京)有限公司,http://company.zhaopin.com/CC604422420.htm,石家庄市裕华区槐安路与翟营大街交口东北角财库国际2705,,2019-04-28 15:32:48,不限,6千-8千,1年以下,3,石家庄,竞价专员,"互联网/电子商务,汽车/摩托车,计算机软件,IT服务(系统/数据/维护)",100-499人
卡盟联众信息技术(北京)有限公司,http://company.zhaopin.com/CC604422420.htm,石家庄市裕华区槐安路与翟营大街交口东北角财库国际2705,裕华区,2019-04-24 10:33:57,不限,6千-8千,不限,2,石家庄,SEM百度竞价,"互联网/电子商务,汽车/摩托车,计算机软件,IT服务(系统/数据/维护)",100-499人
石家庄大尊网络科技有限公司桥西分公司,http://company.zhaopin.com/CZ844342140.htm,中山路梧桐商务,,2019-04-21 22:18:24,大专,3千-6千,不限,5,石家庄,天猫，淘宝运营推广实习助理（双休）,"其他,其他",100-499人
石家庄君乐宝乳业有限公司,http://special.zhaopin.com/2016/sjz/sjzj030139,石家庄市鹿泉区碧水街2号,,2019-04-29 08:32:04,大专,3千-4千,1-3年,1,石家庄,推广专员,"快速消费品（食品/饮料/烟酒/日化）,快速消费品（食品/饮料/烟酒/日化）",1000-9999人
石家庄大尊网络科技有限公司桥西分公司,http://company.zhaopin.com/CZ844342140.htm,中山路梧桐商务,,2019-04-21 21:08:12,大专,4千-6千,不限,5,石家庄,淘宝运营推广助理 ，天猫店长实习 （双休）,"其他,其他",100-499人
石家庄大尊网络科技有限公司,http://special.zhaopin.com/pagepublish/26895583/index.html,桥西区中山西路梧桐商务16层,,2019-04-24 14:55:41,大专,5千-1万,不限,6,石家庄,淘宝京东天猫运营推广助理,互联网/电子商务,100-499人
卡盟联众信息技术(北京)有限公司,http://company.zhaopin.com/CC604422420.htm,石家庄市裕华区槐安路与翟营大街交口东北角财库国际2705,,2019-04-28 15:32:48,不限,6千-8千,1年以下,3,石家庄,SEM竞价专员,"互联网/电子商务,汽车/摩托车,计算机软件,IT服务(系统/数据/维护)",100-499人
宸宇建设集团有限公司河北分公司,http://company.zhaopin.com/CZ627656430.htm,平安公园,,2019-04-25 08:42:55,本科,1万-1.5万,1-3年,1,石家庄,环保售前技术工程师,"房地产/建筑/建材/工程,能源|矿产|环保",500-999人
北京天融信科技有限公司,http://company.zhaopin.com/P7/CC0003/2756/CC000327562.htm,新华区中华北大街中储广场A座1601室,,2019-04-28 13:54:51,不限,8千-1万,不限,1,石家庄,安全研究员(J10486),"计算机硬件,IT服务(系统/数据/维护),通信/电信/网络设备",1000-9999人
保利爱家房地产经纪有限公司,http://special.zhaopin.com/2018/bh/11012/xcbl052931,长安区勒泰写字楼A座2304,,2019-04-29 09:23:45,大专,3千-4千,1-3年,2,石家庄,秘书岗,"房地产/建筑/建材/工程,中介服务,租赁服务,互联网/电子商务",500-999人
石家庄达内软件科技有限公司,http://special.zhaopin.com/pagepublish/46864202/index.html,河北省石家庄一环就近分配,,2019-04-28 10:15:50,本科,4千-6千,无经验,3,石家庄,上市集团  行政助理  五险一金,"计算机软件,IT服务(系统/数据/维护),计算机硬件,互联网/电子商务",1000-9999人
卡盟联众信息技术(北京)有限公司,http://company.zhaopin.com/CC604422420.htm,石家庄市裕华区槐安路与翟营大街交口东北角财库国际2705,裕华区,2019-04-24 10:34:18,不限,6千-8千,不限,2,石家庄,实施顾问,"互联网/电子商务,汽车/摩托车,计算机软件,IT服务(系统/数据/维护)",100-499人
千微(杭州)科技有限公司石家庄分公司,http://company.zhaopin.com/CC347488437.htm,万象城华润大厦A座,,2019-04-26 19:05:44,不限,3千-4千,不限,1,石家庄,助理,信托/担保/拍卖/典当,10000人以上
北京东兴堂健康科技发展有限公司,http://company.zhaopin.com/CZ525941930D00300084421.htm,石家庄市长安区建华北大街与丰收路交口奥北公元三区4栋-2701,长安区,2019-04-26 11:16:17,大专,7.2千-1.4万,5-10年,1,石家庄,省区经理/销售经理（河北省）,医药/生物工程,100-499人
石家庄市长安区佳鑫诺培训学校,http://company.zhaopin.com/CZ349646010.htm,石家庄市裕华区金领大厦,裕华区,2019-04-29 10:40:30,大专,1.5万-2万,3-5年,1,石家庄,网络经理,教育/培训/院校,100-499人
石家庄以岭药业股份有限公司,http://special.zhaopin.com/sjz/11146/ylyy022678,石家庄东开发区天山大街238号,,2019-04-23 16:04:28,本科,8千-1.5万,3-5年,1,石家庄,绩效经理(002425),"医药/生物工程,互联网/电子商务,快速消费品（食品/饮料/烟酒/日化）,医疗/护理/美容/保健/卫生服务",1000-9999人
北京天融信科技有限公司,http://company.zhaopin.com/P7/CC0003/2756/CC000327562.htm,新华区中华北大街中储广场A座1601室,,2019-04-28 13:54:51,大专,8千-1万,1-3年,1,石家庄,安全服务工程师(J10485),"计算机硬件,IT服务(系统/数据/维护),通信/电信/网络设备",1000-9999人
新航道国际教育集团,http://company.zhaopin.com/CZ134022110.htm,石家庄市长安区建设北大街26-1长安花苑底商,长安区,2019-04-28 08:39:22,本科,6千-8千,不限,6,石家庄,课程顾问,教育/培训/院校,10000人以上
天山房地产开发集团有限公司,http://special.zhaopin.com/sjz/2010/tsfc110223/,石家庄东开发区长江大道与泰山街交口东南角长江道壹号B座4楼（天山科技园区）,东开发区,2019-04-29 15:03:56,大专,4千-6千,1-3年,1,石家庄,天山物业社区APP后台管理,房地产/建筑/建材/工程,10000人以上
金木集团有限公司,http://special.zhaopin.com/pagepublish/38065011/index.html,石家庄,,2019-04-28 09:25:04,大专,3千-5千,1-3年,1,石家庄,电商运营专员,医疗/护理/美容/保健/卫生服务,100-499人
石家庄市浩谦培训学校,http://special.zhaopin.com/2018/sjz/11057/sjzs041246,石家庄市新石中路70-2号（总校地址）,,2019-04-28 10:17:56,大专,6千-8千,不限,3,石家庄,新媒体编辑,教育/培训/院校,500-999人
上海谨拍电子商务有限公司,http://company.zhaopin.com/CZ300125230.htm,和平西路666号-科融商业综合大厦 天天拍车门店,新华区,2019-04-29 10:49:59,大专,1万-1.5万,5-10年,1,石家庄,城市经理,"互联网/电子商务,汽车/摩托车",500-999人
青岛越秀地产开发有限公司,http://company.zhaopin.com/CC353498713.htm,石家庄市,,2019-04-28 08:58:51,本科,2万-3万,3-5年,5,石家庄,投资拓展经理,房地产/建筑/建材/工程,10000人以上
北京雍禾医疗投资管理有限公司,http://company.zhaopin.com/CZ343632030.htm,中华南大街210号启程大厦3-4层,桥西区,2019-04-26 15:58:07,大专,6千-8千,1-3年,2,石家庄,信息流推广（6-8K+五险一金）,医疗/护理/美容/保健/卫生服务,1000-9999人
新航道国际教育集团,http://company.zhaopin.com/CZ134022110.htm,石家庄市长安区建设北大街26-1长安花苑底商新航道英语学校,,2019-04-23 09:05:31,本科,4千-6千,1-3年,1,石家庄,运营专员,教育/培训/院校,10000人以上
宸宇建设集团有限公司河北分公司,http://company.zhaopin.com/CZ627656430.htm,平安公园,,2019-04-25 08:42:55,大专,1万-1.5万,1-3年,1,石家庄,项目经理(大气环境监测）,"房地产/建筑/建材/工程,能源|矿产|环保",500-999人
北京万古恒信科技有限公司,http://company.zhaopin.com/%E5%8C%97%E4%BA%AC%E4%B8%87%E5%8F%A4%E6%81%92%E4%BF%A1%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC206322616.htm,石家庄、北京,裕华区,2019-04-29 12:02:39,本科,6千-8千,1-3年,5,石家庄,薪酬专员,"交通/运输,其他,通信/电信运营、增值服务",100-499人
神威药业集团有限公司,http://special.zhaopin.com/sjz/2012/shineway011374/index.htm,中华南大街323号,桥西区,2019-04-22 11:53:04,大专,1万-1.5万,5-10年,1,石家庄,汇康市场部经理,医药/生物工程,1000-9999人
石家庄市桥西区东风春辉培训学校,http://special.zhaopin.com/2018/sjz/11273/sjzs080946,中山西路维明大街交口东北角暗红色多层楼南楼3层,桥西区,2019-04-25 17:38:20,大专,4千-6千,3-5年,1,石家庄,竞价专员,教育/培训/院校,100-499人
石家庄童程童美培训学校有限公司,http://company.zhaopin.com/CZ818838730.htm,中山公馆A座8层,,2019-04-28 14:01:08,大专,4千-6千,不限,1,石家庄,教务督导 双休 五险一金,教育/培训/院校,10000人以上
江西飞尚科技有限公司,http://company.zhaopin.com/CZ225831320.htm,个人意向省份,,2019-04-29 14:42:43,不限,1万-1.5万,不限,30,石家庄,销售工程师（底薪5k，年薪不低于15万）,"电子技术/半导体/集成电路,仪器仪表及工业自动化,IT服务(系统/数据/维护),房地产/建筑/建材/工程",100-499人
